taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company
e94ab623c648d20475c67fb0b19cb71c9a76aff50ea4df9bc7973b239431e27fbff52cb31e97545f03e22c585175b1b70ba7c7bf070eed463237fc6854647127,2018-05-08 17:15:00.000000 UTC,2018-05-08 17:30:00.000000 UTC,268,0.63,,,5.25,2.0,0.0,0.0,7.75,Credit Card,Taxi Affiliation Service Yellow
e94ab623c648d20475c67fb0b19cb71c9a76aff50ea4df9bc7973b239431e27fbff52cb31e97545f03e22c585175b1b70ba7c7bf070eed463237fc6854647127,2018-05-08 18:15:00.000000 UTC,2018-05-08 18:30:00.000000 UTC,1347,2.23,,,12.25,2.55,0.0,0.0,15.3,Credit Card,Taxi Affiliation Service Yellow
e94ab623c648d20475c67fb0b19cb71c9a76aff50ea4df9bc7973b239431e27fbff52cb31e97545f03e22c585175b1b70ba7c7bf070eed463237fc6854647127,2018-05-08 18:45:00.000000 UTC,2018-05-08 18:45:00.000000 UTC,299,0.54,,,5.0,0.0,0.0,1.0,6.0,Cash,Taxi Affiliation Service Yellow
e94ab623c648d20475c67fb0b19cb71c9a76aff50ea4df9bc7973b239431e27fbff52cb31e97545f03e22c585175b1b70ba7c7bf070eed463237fc6854647127,2018-05-08 18:45:00.000000 UTC,2018-05-08 19:00:00.000000 UTC,434,0.94,,,6.5,1.0,0.0,1.0,9.0,Credit Card,Taxi Affiliation Service Yellow
e94ab623c648d20475c67fb0b19cb71c9a76aff50ea4df9bc7973b239431e27fbff52cb31e97545f03e22c585175b1b70ba7c7bf070eed463237fc6854647127,2018-05-08 19:00:00.000000 UTC,2018-05-08 19:15:00.000000 UTC,669,1.74,,,8.25,0.0,0.0,0.0,8.25,Cash,Taxi Affiliation Service Yellow
e94ab623c648d20475c67fb0b19cb71c9a76aff50ea4df9bc7973b239431e27fbff52cb31e97545f03e22c585175b1b70ba7c7bf070eed463237fc6854647127,2018-05-08 19:15:00.000000 UTC,2018-05-08 19:30:00.000000 UTC,498,1.14,,,7.0,2.0,0.0,0.0,9.5,Credit Card,Taxi Affiliation Service Yellow
e94ab623c648d20475c67fb0b19cb71c9a76aff50ea4df9bc7973b239431e27fbff52cb31e97545f03e22c585175b1b70ba7c7bf070eed463237fc6854647127,2018-05-08 20:45:00.000000 UTC,2018-05-08 20:45:00.000000 UTC,509,0.97,,,6.5,0.0,0.0,2.0,8.5,Cash,Taxi Affiliation Service Yellow
b2969e1ec7c6da10361b0d1804e5e9e2892c3ad1c875319ced06ba27f1c2867be92c20865908a3b5af8f7999583e7654385c676756b937426634d298a171fb28,2018-05-10 08:30:00.000000 UTC,2018-05-10 08:45:00.000000 UTC,488,0.73,,,6.25,0.0,0.0,1.0,7.25,Cash,Taxi Affiliation Service Yellow
b2969e1ec7c6da10361b0d1804e5e9e2892c3ad1c875319ced06ba27f1c2867be92c20865908a3b5af8f7999583e7654385c676756b937426634d298a171fb28,2018-05-10 08:45:00.000000 UTC,2018-05-10 08:45:00.000000 UTC,24,0.0,,,3.25,0.0,0.0,0.0,3.25,Cash,Taxi Affiliation Service Yellow
b2969e1ec7c6da10361b0d1804e5e9e2892c3ad1c875319ced06ba27f1c2867be92c20865908a3b5af8f7999583e7654385c676756b937426634d298a171fb28,2018-05-10 08:45:00.000000 UTC,2018-05-10 09:00:00.000000 UTC,433,0.98,,,6.25,0.0,0.0,0.0,6.25,Cash,Taxi Affiliation Service Yellow
