company,total_trips,total_revenue,avg_revenue_per_trip,tip_rate_pct,avg_miles,avg_duration_minutes
Flash Cab,8340755,165229670.47,19.81,6.71,5.47,17.7
Taxi Affiliation Services,6713521,140596407.22,20.94,8.45,3.83,17.02
Sun Taxi,3812564,80654645.09,21.15,10.5,5.32,18.04
Chicago Carriage Cab Corp,4444663,79537489.26,17.9,9.32,4.37,15.55
City Service,3485394,69788315.06,20.02,9.88,4.93,15.91
Medallion Leasin,3255890,66731275.74,20.5,9.45,4.62,15.66
Star North Management LLC,2113646,36101906.92,17.08,10.35,4.25,13.94
Taxi Affiliation Service Yellow,1604361,29382375.54,18.31,8.7,4.58,15.93
Choice Taxi Association,1368524,27194015.36,19.87,11.25,5.1,15.9
Globe Taxi,1220757,23924538.54,19.6,9.52,4.79,15.45
Chicago Independents,1012037,23350924.53,23.07,10.34,5.87,17.67
"Taxicab Insurance Agency, LLC",851261,19693059.85,23.13,10.89,6.08,16.98
Top Cab Affiliation,676769,15363354.98,22.7,10.06,5.93,17.39
Blue Ribbon Taxi Association Inc.,580581,14701866.05,25.32,9.2,1.39,20.75
Yellow Cab,717032,11144499.54,15.54,8.32,3.84,13.04
